,movie,bechdel_pass
2470,machetekills,1
2471,themachine,1
2472,madokamagicarebellionstory,1
2473,maidentrip,1
2474,mama,1
2475,manofsteel,1
2476,manoftaichi,1
2477,mandelalongwalktofreedom,0
2478,maron,0
2479,maryandmartha,1
2480,meineschwestern,1
2481,metalocalypsethedoomstarrequiem,0
2482,michaelkohlhaas,0
2483,minhamaeeumapecaofilme,1
2484,mobius,1
2485,monsterpies,0
2486,monstersuniversity,0
2487,themortalinstrumentscityofbones,1
2488,movingmountains,1
2489,mt.zion,0
2490,mud,0
2491,mylittleponyequestriagirls,1
2492,mymadfatdiary,1
2493,nashornimgalopp,0
2494,nazotokiwadinnernoatode(theafter-dinnermysteries),0
2495,nebraska,1
2496,nighttraintolisbon,0
2497,nowyouseeme,0
2498,thenumbersstation,0
2499,nymphomaniacvolume1,1
2500,nymphomaniacvolume2,1
2501,otempoeovento,1
2502,oblivion,1
2503,oddthomas,1
2504,oldboy,0
2505,olympushasfallen,0
2506,onceuponatimeinvietnam,0
2507,onlygodforgives,1
2508,onlyloversleftalive,1
2509,openroad,1
2510,orphanblack,1
2511,outofthefurnace,0
2512,ozthegreatandpowerful,1
2513,pacificrim,0
2514,pain&gain,0
2515,paloalto,1
2516,parker,1
2517,particlefever,1
2518,pasadena,1
2519,patemainverted,0
2520,peeples,1
2521,percyjacksonseaofmonsters,1
2522,perfectmothers,1
2523,persona3themovie#1springofbirth,1
2524,philomena,1
2525,thephysician,0
2526,planes,0
2527,plush,1
2528,pozitiacopilului,1
2529,theprettyone,1
2530,princeavalanche,0
2531,theprincesstwinsoflegendale,1
2532,prisoners,1
2533,puellamagimadokamagicathemoviepartiiitherebellionstory,1
2534,thepunksinger,1
2535,thepurge,1
2536,r.i.p.d.,0
2537,therailwayman,0
2538,rastresdesándal,1
2539,red2,1
2540,remembersunday,1
2541,thereturned,1
2542,rewind,0
2543,riddick,0
2544,rileyrewind,1
2545,ronny,0
2546,runnerrunner,0
2547,rush,0
2548,rwby,1
2549,sadako3d2,1
2550,safehaven,1
2551,saigepaintsthesky,1
2552,savingmr.banks,1
2553,thesecretlifeofwaltermitty,1
2554,theselfishgiant,0
2555,sharknado,1
2556,shemadethemdoit,0
2557,shortterm12,1
2558,sideeffects,1
2559,thesistersplotz,1
2560,skinwalkerranch,0
2561,sleepingwiththefishes,1
2562,thesmurfs2,1
2563,snowpiercer,1
2564,somegirl(s),0
2565,soshitechichininaru(likefatherlikeson),1
2566,thespectacularnow,0
2567,stalingrad,0
2568,startrekintodarkness,0
2569,thestarvinggames,1
2570,stilllife,0
2571,stoker,1
2572,strangerbythelake,0
2573,summerleague,1
2574,sunshineonleith,1
2575,suzanne,1
2576,svecenikovadjeca,0
2577,thetaleoftheprincesskaguya,1
2578,tangerines,0
2579,teenbeachmovie,1
2580,texaschainsaw3d,1
2581,thanksforsharing,0
2582,thisistheend,0
2583,thorthedarkworld,1
2584,tim'svermeer,0
2585,thetimeinbetween,0
2586,thetodolist,1
2587,touchyfeely,1
2588,tracks,1
2589,trance,0
2590,trapforcinderella,1
2591,thetruthaboutemanuel,1
2592,turbo,1
2593,uitgesproken,0
2594,ummah-unterfreunden,0
2595,upstreamcolor,0
2596,v/h/s/2,1
2597,vaiquedacerto,0
2598,verygoodgirls,1
2599,viarbast!,1
2600,vikings,1
2601,vinoveritas,1
2602,vivalaliberta,0
2603,thevivianmaiermystery,1
2604,viviresfacilconlosojoscerrados,0
2605,wadjda,1
2606,warmbodies,0
2607,wastelands,0
2608,thewaywayback,1
2609,wearewhatweare,1
2610,we'rethemillers,1
2611,welcometothepunch,0
2612,wetlands,1
2613,whatif,1
2614,whitebear,1
2615,whitehousedown,0
2616,whitelies,1
2617,thewineofsummer,1
2618,witchingandbitching,1
2619,thewolfofwallstreet,1
2620,thewolverine,1
2621,wordsandpictures,1
2622,worldwarz,1
2623,theworld'send,0
2624,wrongcops,0
2625,xiyouxiangmopian(journeytothewest),0
2626,yehjawaanihaideewani,1
2627,yipmanjunggikyatjin,1
2628,theyoungandprodigioust.s.spivet,1
2629,youngdetectivedeeriseoftheseadragon,0
2630,thezerotheorem,0
2631,zipiyzapeyelclubdelacanica,0
2632,zombiehunter,1
2633,zoranilmionipotescemo,0
2634,zumgeburtstag,0
2635,2coelhos,0
2636,2daysinnewyork,1
2637,21jumpstreet,0
2638,ahalloweenpuppy,0
2639,alatequartet,1
2640,aroyalaffair,1
2641,athousandwords,0
2642,aboutcherry,1
2643,abrahamlincolnvampirehunter,1
2644,aceattorney,1
2645,actofvalor,0
2646,ahivaeldiablo,1
2647,alihasblueeyes,0
2648,alientornado,1
2649,alliwantiseverything,1
2650,theamazingspider-man,0
2651,americanmary,1
2652,americanwarships,1
2653,amour,1
2654,theangels'share,0
2655,annakarenina,0
2656,anyquestionsforben?,0
2657,arachnoquake,1
2658,arbitrage,0
2659,argo,1
2660,ashighasthesky,1
2661,asterixandobelixgodsavebritannia,0
2662,attackofthe50ftcheerleader,1
2663,augustine,1
2664,aurora,0
2665,theavengers,0
2666,bachelorette,1
2667,badparents,1
2668,barbara,1
2669,barfi!,0
2670,batmanthedarkknightreturnspart1,1
2671,battleship,0
2672,thebay,0
2673,bearcity2theproposal,1
2674,beastsofthesouthernwild,1
2675,beingflynn,0
2676,berberiansoundstudio,0
2677,bestmandown,1
2678,beyondthehills,1
2679,bigmiracle,1
2680,bikinispringbreak,1
2681,bindlestiffs,1
2682,bitchkram,1
2683,blackrock,1
2684,bletchleycircle,1
2685,bloodfare,0
2686,bluelagoontheawakening,1
2687,bluelikejazz,1
2688,thebody,1
2689,thebournelegacy,1
2690,thebrassteapot,1
2691,brave,1
2692,thebrokencirclebreakdown,1
2693,bullettothehead,0
2694,byzantium,1
2695,callgirl,1
2696,callmekuchu,1
2697,thecampaign,0
2698,celesteandjesseforever,1
2699,cheesecakecasserole,1
2700,chernobyldiaries,0
2701,chronicle,0
2702,cigarettekitarah,1
2703,citadel,0
2704,thecitizen,0
2705,cloudatlas,1
2706,cockneysvszombies,0
2707,cocktail,1
2708,comesabrightday,0
2709,thecompanyyoukeep,0
2710,compliance,1
2711,contraband,1
2712,cosmopolis,0
2713,croczilla,0
2714,cybergeddon,1
2715,dabangg2,0
2716,danslamaison,1
2717,thedarkknightrises,0
2718,darkshadows,1
2719,daslebenistnichtsfurfeiglinge,1
2720,daswochenende,1
2721,deadman'sburden,0
2722,decay,1
2723,denskaldedefrisor,1
2724,despuesdelucia,1
2725,thedevilinside,1
2726,thedevil'scarnival,0
2727,diaryofawimpykiddogdays,1
2728,thedictator,0
2729,diewand,0
2730,djangounchained,0
2731,djupid,0
2732,thedoor,1
2733,dredd3d,1
2734,drippinginchocolate,1
2735,eega,0
2736,electrickchildren,1
2737,elementary,1
2738,endofwatch,1
2739,englishvinglish,1
2740,entity,1
2741,entrance,1
2742,erased,0
2743,ernest&celestine,0
2744,escapefirethefighttorescueamericanhealthcare,1
2745,evangelion3.0youcan(not)redo,1
2746,excision,1
2747,theexpendables2,1
2748,extracted,0
2749,thefactory,1
2750,fastgirls,1
2751,fatkidrulestheworld,0
2752,fin,1
2753,thefive-yearengagement,1
2754,flight,1
2755,flukt,1
2756,foragoodtimecall...,1
2757,foreignletters,1
2758,fourassassins,0
2759,francesha,1
2760,frankenweenie,0
2761,frenemies,0
2762,futureweather,1
2763,gambit,0
2764,gamechange,1
2765,gayby,1
2766,thegiantmechanicalman,1
2767,gingerandrosa,1
2768,girlinprogress,1
2769,girlvs.monster,1
2770,goldenwinter,0
2771,gone,1
2772,goodvibrations,1
2773,goodbye,1
2774,grabbers,1
2775,greetingsfromtimbuckley,0
2776,thegrey,0
2777,theguilttrip,1
2778,gyo,1
2779,halo4forwarduntodawn,1
2780,hannaharendt,1
2781,hannibal,1
2782,thehappycaterpillars,0
2783,thehauntingofwhaleyhouse,1
2784,hemingway&gellhorn,0
2785,herutasukeruta,1
2786,thehistoryoffuturefolk,0
2787,hitandrun,1
2788,hitchcock,0
2789,thehobbitanunexpectedjourney,0
2790,holymotors,0
2791,hopesprings,1
2792,hoteltransylvania,1
2793,houseattheendofthestreet,1
2794,thehungergames,1
2795,hydeparkonhudson,0
2796,ibelong,1
2797,iceagecontinentaldrift,0
2798,ifiwereyou,1
2799,illmanors,1
2800,theimpossible,0
2801,inthedarkhalf,1
2802,inch'allah,1
2803,interviewwithahitman,0
2804,ironsky,1
2805,it'sadisaster,1
2806,jackanddiane,1
2807,jackreacher,0
2808,jackie,1
2809,jagten,0
2810,jaynemansfield'scar,1
2811,johncarter,1
2812,johndiesattheend,0
2813,journey2themysteriousisland,0
2814,journeytothechristmasstar,1
2815,kahaani,1
2816,kapringen,0
2817,thekeyandtheframe,1
2818,kill'emall,0
2819,killerjoe,0
2820,killingthemsoftly,0
2821,kissofthedamned,1
2822,klip,1
2823,ko-ri-a,1
2824,kon-tiki,0
2825,l'enfantd'enhaut,0
2826,lacinquiemesaison,1
2827,lakeeffects,1
2828,laststopkurtulus,1
2829,lawless,0
2830,legrandsoir,0
2831,leprenom,1
2832,lesmiserables,1
2833,liberalarts,0
2834,lifeofpi,0
2835,lincoln,1
2836,thelizziebennetdiaries,1
2837,lolaversus,1
2838,looper,0
2839,thelorax,0
2840,thelordsofsalem,1
2841,lore,1
2842,theluckyone,1
2843,madagascar3europe'smostwanted,0
2844,magicmike,1
2845,themagicofbelleisle,1
2846,themakingofalady,1
2847,manonaledge,0
2848,themanwiththeironfists,0
2849,themaster,0
2850,meninblackiii,0
2851,mental,1
2852,minegames,1
2853,mirrormirror,1
2854,monsterhighghoul'srule,1
2855,moonrisekingdom,1
2856,morgana,1
2857,mosquitaymari,1
2858,muchadoaboutnothing,1
2859,neighboringsounds,1
2860,nightofthelivingdead3dre-animation,1
2861,no,0
2862,notfadeaway,1
2863,nowisgood,1
2864,theoccupants,0
2865,theoddlifeoftimothygreen,1
2866,ohboy,0
2867,okamikodomonoametoyuki,1
2868,oneforthemoney,1
2869,outinthedark,0
2870,thepact,1
2871,papadopoulos&sons,0
2872,thepaperboy,1
2873,paradiesliebe,1
2874,paranormalactivity4,1
2875,paranorman,1
2876,parentalguidance,1
2877,paris-manhattan,1
2878,passion,1
2879,paulette,1
2880,peoplelikeus,1
2881,theperksofbeingawallflower,1
2882,thepirates!bandofmisfits,0
2883,pitchperfect,1
2884,theplacebeyondthepines,0
2885,populaire,1
2886,thepossession,1
2887,premiumrush,1
2888,pricecheck,1
2889,privacy,1
2890,projectx,0
2891,prometheus,1
2892,quartet,1
2893,qwerty,1
2894,radiorebel,1
2895,theraven,0
2896,reddawn,0
2897,redtails,0
2898,renoir,1
2899,residentevilretribution,1
2900,riseoftheanimals,1
2901,riseoftheguardians,0
2902,robot&frank,0
2903,rockjocks,0
2904,rockofages,1
2905,rubysparks,1
2906,ruronikenshinmeijikenkakuromantan,1
2907,sadako3d,1
2908,safe,0
2909,safetynotguaranteed,1
2910,thesapphires,1
2911,sassypants,1
2912,savages,1
2913,savethedate,0
2914,theseasoninghouse,1
2915,seekingafriendfortheendoftheworld,0
2916,thesessions,0
2917,sevenpsychopaths,0
2918,shadowdancer,1
2919,shelter,1
2920,sightseers,1
2921,silence,0
2922,silenthillrevelation3d,1
2923,silverliningsplaybook,1
2924,sinister,0
2925,theskinny,1
2926,skyfall,1
2927,sleepwalkwithme,0
2928,smashed,1
2929,smiley,1
2930,snackbar,0
2931,snowqueen,1
2932,snowwhite,1
2933,snowwhiteandthehuntsman,1
2934,soundercover,1
2935,sparkle,1
2936,springbreakers,1
2937,starlet,1
2938,starsabove,1
2939,steelmagnolias,1
2940,stepuprevolution,1
2941,storieswetell,1
2942,strikewitches-themovie,1
2943,struckbylightning,1
2944,stuckinlove,1
2945,supermanvs.theelite,0
2946,supportingcharacters,0
2947,sushigirl,0
2948,theswing,1
2949,tabu,1
2950,tadthelostexplorer,0
2951,taken2,0
2952,thetallman,1
2953,tangolibre,0
2954,tearsofsteel,0
2955,ted,0
2956,that'smyboy,0
2957,thinklikeaman,1
2958,thisis40,1
2959,thismeanswar,0
2960,tigereyes,1
2961,timanderic'sbilliondollarmovie,0
2962,tinkerbellandthesecretofthewings,1
2963,toromewithlove,0
2964,tothewonder,1
2965,totalrecall,0
2966,travellingsalesman,0
2967,thetwilightsagabreakingdawn-part2,1
2968,underworldawakening,1
2969,v/h/s,0
2970,vamps,1
2971,vattnet,0
2972,violine,0
2973,thevow,1
2974,wanderlust,1
2975,warpaint,0
2976,thewatch,0
2977,whatmaisieknew,1
2978,whattoexpectwhenyou'reexpecting,1
2979,whitealligator,1
2980,whystopnow?,1
2981,wireboy,0
2982,thewomaninblack,0
2983,women'sday(dzienkobiet),1
2984,won'tbackdown,1
2985,thewords,0
2986,wouldyourather,1
2987,wrathofthetitans,0
2988,wreck-itralph,1
2989,zerodarkthirty,1
2990,[rec]3genesis,1
2991,áannanveg,0
2992,11flowers,1
2993,12datesofchristmas,1
2994,17girls,1
2995,17miracles,1
2996,30minutesorless,0
2997,444lastdayonearth,0
2998,50/50,0
2999,a2ndchance,1
3000,adangerousmethod,1
3001,ahappyevent,1
3002,alittlebitofheaven,1
3003,alonelyplacetodie,1
3004,aseparation,1
3005,asimplelife,1
3006,atorinoilo,0
3007,atusespaldas,1
3008,averyharold&kumar3dchristmas,0
3009,abduction,0
3010,aboutsunny,1
3011,absentia,1
3012,theadjustmentbureau,1
3013,theadventuresoftintin,0
3014,ageofthedragons,0
3015,alamanya,1
3016,albatross,1
3017,albertnobbs,1
3018,alienarmageddon,1
3019,aliensvs.avatars,1
3020,allsuperheroesmustdie,0
3021,alps,1
3022,alvinandthechipmunkschipwrecked,1
3023,alycekills,1
3024,amberlake,1
3025,andifwealllivetogether,0
3026,anotherearth,1
3027,anotherhappyday,1
3028,apart,1
3029,apartment143,1
3030,apollo18,0
3031,theartofgettingby,0
3032,arthur,0
3033,arthurchristmas,0
3034,theartist,0
3035,atlasshruggedparti,1
3036,attacktheblock,1
3037,attenberg,1
3038,auculduloup,1
3039,theawakening,1
3040,badteacher,1
3041,barbieprincesscharmschool,1
3042,batmanyearone,1
3043,battlelosangeles,0
3044,beastly,0
3045,bernie,0
3046,thebestexoticmarigoldhotel,1
3047,thebigyear,0
3048,blackbutterflies,1
3049,blackgold,0
3050,theblackpowermixtape1967-1975,1
3051,blackthorn,0
3052,bluecrush2,1
3053,bridesmaids,1
3054,butter,1
3055,thecabininthewoods,1
3056,cafedeflore,1
3057,thecaller,1
3058,captainamericathefirstavenger,0
3059,thecaptains,0
3060,carnage,1
3061,cars2,0
3062,catch.44,1
3063,catchme...i'minlove,0
3064,catwoman,1
3065,cedarrapids,0
3066,chaletgirl,1
3067,thechange-up,0
3068,circumstance,1
3069,cloudburst,1
3070,codependentlesbianspacealienseekssame,1
3071,colombiana,0
3072,combatgirls,1
3073,conanthebarbarian,1
3074,contagion,1
3075,coriolanus,0
3076,coupd'éclat,1
3077,courageous,1
3078,cowboys&aliens,0
3079,thecraiglistkiller,1
3080,crazystupidlove.,1
3081,cyberbully,1
3082,damselsindistress,1
3083,thedarkesthour,1
3084,thedeadinside,0
3085,deadspaceaftermath,0
3086,thedecoybride,1
3087,thedeepbluesea,1
3088,thedescendants,1
3089,detachment,1
3090,detention,1
3091,deusexhumanrevolution,1
3092,diaryofawimpykidrodrickrules,0
3093,thedilemma,0
3094,thedivide,1
3095,dolphintale,0
3096,donovan'secho,0
3097,dorfmaninlove,1
3098,thedouble,0
3099,dreamhouse,1
3100,drengenderikkekunnesvomme,0
3101,drive,1
3102,theeagle,0
3103,eva,1
3104,exithumanity,1
3105,extremelyloud&incrediblyclose,0
3106,facesinthecrowd,1
3107,familiargrounds,0
3108,fastfive,1
3109,faust,0
3110,finaldestination5,0
3111,fjellet,1
3112,flypaper,1
3113,footloose,1
3114,footnote,0
3115,theforgivenessofblood,1
3116,foundmemories(historiasquesoexistemquandolembradas),1
3117,freemen,0
3118,frenchimmersion,1
3119,friendswithbenefits,1
3120,friendswithkids,1
3121,frightnight,1
3122,frompradatonada,1
3123,fromuponpoppyhill,1
3124,thefuture,1
3125,gantzperfectanswer,0
3126,ghostriderspiritofvengeance,0
3127,girlwalksintoabar,1
3128,thegirlwiththedragontattoo,0
3129,gnomeo&juliet,1
3130,thegooddoctor,1
3131,goon,0
3132,gosick,1
3133,graveencounters,0
3134,thegreenhornet,0
3135,greenlantern,0
3136,theguard,0
3137,hallpass,0
3138,thehangoverpart2,0
3139,hanna,1
3140,happyfeettwo,1
3141,hara-kirideathofasamurai,0
3142,harrypotterandthedeathlyhallowspart2,1
3143,hastalavista,0
3144,haywire,0
3145,headhunters,0
3146,hell,1
3147,thehelp,1
3148,hesher,0
3149,hick,1
3150,thehiddenface,0
3151,higherground,1
3152,himizu,1
3153,hobowithashotgun,0
3154,hoodwinkedtoo!hoodvs.evil,1
3155,hop,0
3156,horriblebosses,1
3157,hotarubinomorie(totheforestoffireflylights),1
3158,houseoftolerance,1
3159,hugo,1
3160,thehumancentipedeii(fullsequence),0
3161,thehunter,1
3162,hysteria,1
3163,iamnasrine,1
3164,iamnumberfour,0
3165,idon'tknowhowshedoesit,1
3166,idesofmarch,0
3167,immortals,0
3168,intime,0
3169,theinbetweenersmovie,0
3170,theinnkeepers,1
3171,inventory,1
3172,iris,1
3173,theironlady,1
3174,ironclad,0
3175,jackandjill,1
3176,jackpot(armeriddere),0
3177,jamieandjessiearenottogether,1
3178,janeeyre,1
3179,jeffwholivesathome,1
3180,jinlingshisanchai,1
3181,jirodreamsofsushi,0
3182,joeandbelle,1
3183,johnnyenglishreborn,1
3184,juanofthedead,0
3185,jumpingthebroom,1
3186,justgowithit,1
3187,k-on!movie,1
3188,killlist,1
3189,killerelite,0
3190,kissme,1
3191,kungfupanda2,1
3192,l!fehappens,1
3193,l'amourduretroisans,1
3194,l'artd'aimer,1
3195,laleyendadelallorona,1
3196,lastcallattheoasis,1
3197,lastcallattheoasis,1
3198,lechatdurabbin,1
3199,lehavre,1
3200,leskylab,1
3201,lemonademouth,1
3202,lestuche,1
3203,thelie,1
3204,lifewithoutprinciple,1
3205,likecrazy,1
3206,limitless,0
3207,thelincolnlawyer,0
3208,littlebirds,1
3209,thelittleenginethatcould,1
3210,lloydtheconqueror,0
3211,lobosdearga,0
3212,theloneliestplanet,0
3213,lovelymolly,1
3214,margaret,1
3215,margincall,0
3216,marsneedsmoms,1
3217,marthamarcymaymarlene,1
3218,masks,1
3219,meangirls2,1
3220,themechanic,0
3221,melancholia,1
3222,michael,0
3223,midnightinparis,1
3224,mientrasduermes,0
3225,mildredpierce,1
3226,missionimpossible-ghostprotocol,0
3227,mitsukodelivers,1
3228,moneyball,0
3229,monsieurlahzar,1
3230,montecarlo,1
3231,moonpoint,0
3232,themothdiaries,1
3233,moypapabaryshnikov,0
3234,mr.popper'spenguins,0
3235,themuppets,0
3236,mypieceofthepie,1
3237,myweekwithmarilyn,1
3238,newyear'seve,1
3239,nicostratoslepelican,0
3240,noonekilledjessica,1
3241,nostringsattached,1
3242,octoberbaby,1
3243,onceuponatimeinanatolia,0
3244,onceuponawarrior,1
3245,oneday,0
3246,theoranges,1
3247,oslo31.august,0
3248,ouridiotbrother,1
3249,theoutrage,0
3250,pageoneinsidethenewyorktimes,0
3251,parada,1
3252,paranormalactivity3,1
3253,pariah,1
3254,paul,1
3255,peacelove&misunderstanding,1
3256,theperfectfamily,1
3257,perfectsense,1
3258,phase7,0
3259,phineasandferbthemovieacrossthe2nddimension,1
3260,piratesofthecaribbeanonstrangertides,0
3261,polisse,1
3262,priest,0
3263,theprincessandthepony,1
3264,prom,1
3265,pussinboots,0
3266,quarantine2terminal,1
3267,theraidredemption,0
3268,rango,0
3269,realsteel,0
3270,redridinghood,1
3271,redstate,1
3272,restless,1
3273,ridofme,1
3274,rio,0
3275,riseoftheplanetoftheapes,0
3276,therite,1
3277,rollertown,1
3278,theroommate,1
3279,ruggine,1
3280,therumdiary,0
3281,rundskop,0
3282,s.w.a.t.firefight,0
3283,salmonfishingintheyemen,0
3284,samsara,0
3285,sanguedomeusangue,1
3286,savingface,1
3287,scottandbailey,1
3288,scream4,1
3289,shame,0
3290,shemonkeys,1
3291,sherlockholmesagameofshadows,0
3292,theshunning,1
3293,silenced,0
3294,silenthouse,1
3295,singham,0
3296,thesitter,1
3297,theskinilivein,1
3298,sleepingbeauty,1
3299,sleepingsickness(schlafkrankheit),0
3300,sleeplessnight,0
3301,thesmurfs,1
3302,snowflowerandthesecretfan,1
3303,thesorcererandthewhitesnake,1
3304,soulsurfer,1
3305,soundofmyvoice,1
3306,sourcecode,0
3307,thesource,1
3308,starbuck,0
3309,stateofemergency,0
3310,thestrangethingaboutthejohnsons,1
3311,strawdogs,1
3312,suckerpunch,1
3313,thesunsetlimited,0
3314,super8,1
3315,takeshelter,1
3316,takethiswaltz,1
3317,teenspirit,1
3318,terraferma,1
3319,thespians,1
3320,thething,1
3321,thisisnotafilm,0
3322,thismustbetheplace,0
3323,thor,1
3324,thethreedisappearancesofsoadhosni,1
3325,thethreemusketeers,0
3326,tinkertailorsoldierspy,0
3327,tomboy,1
3328,toobigtofail,0
3329,toutesnosenvies,1
3330,towerheist,0
3331,transformersdarkofthemoon,1
3332,thetreeoflife,0
3333,trishna,1
3334,turnmeondammit!,1
3335,thetwilightsagabreakingdawn-part1,1
3336,tyrannosaur,0
3337,unionsqure,1
3338,unknown,0
3339,theunleashed,1
3340,untouchable,0
3341,violet&daisy,1
3342,w.e.,1
3343,wakewood,1
3344,warhorse,0
3345,warrior,0
3346,waterforelephants,0
3347,weboughtazoo,0
3348,wehaveapope,0
3349,weneedtotalkaboutkevin,1
3350,weekend,0
3351,what'syournumber,1
3352,whenpigshavewings,0
3353,wheredowegonow?,1
3354,winwin,1
3355,winniethepooh,0
3356,withoutmen,1
3357,thewoman,1
3358,wutheringheights,0
3359,x-menfirstclass,1
3360,xxxholicroadayume,0
3361,theyeardollypartonwasmymom,1
3362,yellingtothesky,1
3363,youinstead,1
3364,you'renext,1
3365,youngadult,1
3366,yourhighness,0
3367,yoursister'ssister,1
3368,'tamaradrewe',1
3369,127hours,1
3370,13assassins,0
3371,16wishes,1
3372,18comidas,0
3373,22bullets/l'immortel,0
3374,30daysofnightdarkdays,1
3375,4.3.2.1,1
3376,abagofhammers,1
3377,alittlehelp,1
3378,amarinestory,1
3379,anightmareonelmstreet,1
3380,thea-team,0
3381,abel,1
3382,theaccursed,0
3383,aftershock,1
3384,aliceinwonderland,1
3385,allaboutevil,1
3386,amador,1
3387,theamazingbulk,0
3388,theamerican,0
3389,aninvisiblesign,1
3390,andsoonthedarkness,1
3391,animalkingdom,0
3392,anotheryear,1
3393,arrietty,1
3394,theback-upplan,1
3395,bal,0
3396,bandbaajabarat,1
3397,bandage,1
3398,barbieinamermaidtale,1
3399,barney'sversion,1
3400,basilicatacoasttocoast,1
3401,batmanundertheredhood,0
3402,bearcity,0
3403,bedevilled,1
3404,beginners,0
3405,beyondtheblackrainbow,0
3406,thebigtitsdragon,1
3407,billcunninghamnewyork,1
3408,biutiful,0
3409,blackswan,1
3410,blackvenus,1
3411,bluevalentine,0
3412,bookofeli,1
3413,boy,0
3414,boywonder,1
3415,bratzpamperedpetz,1
3416,breakkebaad,1
3417,browncoatsredemption,1
3418,buried,0
3419,burlesque,1
3420,ca$h,0
3421,cairo678,1
3422,camprock2thefinaljam,1
3423,carancho,1
3424,casinojack,0
3425,catfish,0
3426,cemeteryjunction,0
3427,centurion,0
3428,ceremony,0
3429,certifiedcopy,1
3430,charliest.cloud,0
3431,chasinglegends,0
3432,chico&rita,0
3433,chongqingblues,0
3434,thechroniclesofnarniathevoyageofthedawntreader,1
3435,clashofthetitans,1
3436,theclientlist,0
3437,theclinic,1
3438,theclock,1
3439,comoesquecer,1
3440,confessions(kokuhaku),1
3441,theconspirator,1
3442,conviction,1
3443,copout,0
3444,thecorridor,0
3445,countrystrong,1
3446,thecrazies,1
3447,cyrus,0
3448,dasletzteschweigen,1
3449,datenight,1
3450,daydreamnation,1
3451,dearjohn,0
3452,thedebt,1
3453,denizen,0
3454,despicableme,1
3455,detectivedeeandthemysteryofthephantomflame,1
3456,devil,1
3457,diaryofawimpykid,1
3458,diciottoannidopo,0
3459,dinnerforschmucks,0
3460,thedisciple,0
3461,don'tbeafraidofthedark,1
3462,doshermanos,1
3463,duedate,0
3464,dylandogdeadofnight,0
3465,easya,1
3466,eatme!,1
3467,eatpraylove,1
3468,edgeofdarkness,0
3469,eldiosdemadera,1
3470,elektraluxx,1
3471,elenaundone,1
3472,elles'appelaitsarah(sarah'skey),1
3473,enthiran,1
3474,essentialkilling,0
3475,everythingmustgo,0
3476,exitthroughthegiftshop,0
3477,theexpendables,0
3478,theexperiment,0
3479,theextraordinaryadventuresofadeleblanc-sec,1
3480,fairgame,1
3481,fannyannie&danny,1
3482,fantasmas,0
3483,faster,0
3484,feedingfrenzy,1
3485,thefighter,0
3486,firstnight,1
3487,flipped,1
3488,foodstamped,1
3489,for80days,1
3490,forcoloredgirls,1
3491,fourlions,0
3492,thefour-facedliar,1
3493,frankieandalice,1
3494,frozen,0
3495,gantz,0
3496,gethimtothegreek,0
3497,theghostwriter,0
3498,goingpostal,0
3499,goingthedistance,1
3500,thegoodwitch'sgift,1
3501,thegreatvazquez,1
3502,greenzone,0
3503,greenberg,0
3504,grownups,1
3505,gunless,0
3506,thehairdresser,1
3507,halolegends,0
3508,happythankyoumoreplease,0
3509,harrietthespyblogwars,1
3510,harrypotterandthedeathlyhallowspart1,1
3511,heartbeats,0
3512,theheavy,0
3513,thehollywoodcomplex,1
3514,hottubtimemachine,0
3515,thehousemaid,1
3516,howdoyouknow,1
3517,howiendedthissummer,0
3518,howtotrainyourdragon,1
3519,howl,0
3520,thehumanresourcesmanager,0
3521,hunterprey,0
3522,thehunter,0
3523,hypothermia,1
3524,iamlove,1
3525,isawthedevil,0
3526,iwillfollow,1
3527,theillusionist,0
3528,imschatten,0
3529,incendies,1
3530,inception,1
3531,insidious,1
3532,intoourownhands,1
3533,ipman2,0
3534,ironman2,1
3535,it'skindofafunnystory,0
3536,jackandthebeanstalk,0
3537,jackgoesboating,0
3538,jo'sboy,0
3539,jucy,1
3540,justwright,1
3541,justiceleaguecrisisontwoearths,0
3542,kaboom,1
3543,thekaratekid,1
3544,kick-ass,0
3545,thekidsareallright,1
3546,thekillerinsideme,0
3547,thekillingjar,1
3548,kingofdevil'sisland,0
3549,theking'sspeech,1
3550,knightandday,0
3551,lateteenfriche,0
3552,thelastairbender,0
3553,thelastexorcism,1
3554,thelastsong,1
3555,leadingladies,1
3556,leapyear,1
3557,legion,1
3558,lesemotifsanonymes,1
3559,letmein,0
3560,letterstojuliet,1
3561,lifeasweknowit,1
3562,littlewhitelies,1
3563,londonboulevard,0
3564,losojosdejulia(julia'seyes),1
3565,thelosers,0
3566,thelottery,1
3567,loveandotherdrugs,0
3568,loveinapuff,0
3569,lovelikepoison,1
3570,macgruber,0
3571,machete,1
3572,madeindagenham,1
3573,majoriteopprimee,0
3574,meek'scutoff,0
3575,megamind,0
3576,middlemen,0
3577,minevaganti,1
3578,monga,0
3579,mongoliandeathworm,1
3580,monsters,0
3581,morningglory,1
3582,mozart'ssister,1
3583,mybabysitter'savampire,1
3584,mysoultotake,1
3585,mysteriesoflisbon,1
3586,nannymcpheeandthebigbang,1
3587,neverletmego,1
3588,thenextthreedays,1
3589,nightcatchesus,1
3590,norwegianwood,1
3591,ofgodandmen(deshommesetdesdieux),0
3592,omaeumasoudana,0
3593,ontour,1
3594,operationendgame,1
3595,orangesandsunshine,1
3596,theotherguys,0
3597,ourfamilywedding,1
3598,outsidethelaw,0
3599,paranormalactivity2,1
3600,peacock,0
