,movie,bechdel_pass
279,likeaboss,1
280,livingaims,0
281,lostgirls,1
282,thelosthusband,1
283,loveandmonsters,0
284,ludo,1
285,marainey'sblackbottom,1
286,mainstream,1
287,malmkrog,1
288,mank,0
289,mariahcarey'smagicalchristmasspecial,1
290,themarijuanaconspiracy,1
291,themethodists,1
292,themidnightsky,1
293,minari,1
294,misbehaviour,1
295,monsterhunter,1
296,motherlandfortsalem,1
297,mulan,1
298,mysalingeryear,1
299,myspy,1
300,neverrarelysometimesalways,1
301,thenewmutants,1
302,newsoftheworld,1
303,nomadland,1
304,normalpeople,1
305,theoldguard,1
306,onenightinmiami...,0
307,onenightinsandiego,0
308,onward,1
309,overthemoon,1
310,palmsprings,1
311,penguinbloom,1
312,phineasandferbthemoviecandaceagainsttheuniverse,1
313,piecesofawoman,1
314,platzspitzbaby,1
315,theprom,1
316,promisingyoungwoman,1
317,relic,1
318,theretreat,0
319,therhythmsection,0
320,run,1
321,runhidefight,1
322,santana,0
323,saveyourselves!,1
324,scareme,0
325,scoob,1
326,shadowinthecloud,0
327,shirley,1
328,silverskates,0
329,slaxx,1
330,sonicthehedgehog,1
331,soul,1
332,spree,1
333,sputnik,0
334,stargirl,1
335,thestuntdouble,0
336,summerof85,0
337,summerland,0
338,superintelligence,1
339,swimmingforgold,0
340,tenet,0
341,toalltheboysp.s.istillloveyou,1
342,toutsimplementnoir,0
343,tove,1
344,traintobusanpresentspeninsula,1
345,thetrialofthechicago7,0
346,trollsworldtour,1
347,theturning,1
348,underwater,1
349,unhinged,1
350,unpregnant,1
351,theveil,1
352,wecanbeheroes,1
353,thewitches,0
354,wolfwalkers,1
355,thewomanwhoran,1
356,wonderwoman1984,1
357,workit,1
358,theworldtocome,1
359,youwillneverbeback,1
360,zombies2,1
361,1917,0
362,47metersdownuncaged,1
363,7500,0
364,abeautifuldayintheneighborhood,0
365,acalltospy,1
366,adarkdarkman,0
367,adog'sjourney,1
368,anewchristmas,0
369,a.m.i.,1
370,abominable,1
371,adastra,0
372,theaddamsfamily,1
373,theaeronauts,1
374,after,1
375,afterthewedding,1
376,aladdin,1
377,alitabattleangel,1
378,alwaysbemymaybe,1
379,americanwoman,1
380,angelhasfallen,0
381,animals,1
382,anna,1
383,annabellecomeshome,1
384,anya,1
385,theartofracingintherain,0
386,article15,0
387,aspromontelandoftheforgotten,0
388,theassistant,1
389,avengersendgame,1
390,babyteeth,1
391,bacurau,1
392,badeducation,1
393,batmanhush,1
394,thebeachbum,0
395,beforeyouknowit,1
396,thebestofenemies,1
397,bit,1
398,bloodmachines,1
399,thebodyrememberswhentheworldbrokeopen,1
400,bombshell,1
401,bombshellsanddollies,1
402,booksmart,1
403,brightburn,0
404,brittanyrunsamarathon,1
405,canyoukeepasecret?,1
406,canceled,1
407,captainmarvel,1
408,carmilla,1
409,thecatandthemoon,0
410,cats,1
411,charlie'sangels,1
412,clementine,1
413,close,1
